Frame,Time_Sec,X,Y,Mode,Area,Circularity
0,6.033333333333333,922,552,RECOVERED,38.0,0.7964953919549048
3,6.133333333333334,922,554,TRACKING,44.0,0.8867595835457189
6,6.233333333333333,920,552,TRACKING,44.0,0.8399544390775812
9,6.333333333333334,920,554,TRACKING,52.0,0.7785730264869144
12,6.433333333333334,920,552,TRACKING,54.0,0.7468881888038891
15,6.533333333333333,918,554,TRACKING,66.0,0.9128633418714199
18,6.633333333333334,918,554,TRACKING,64.0,0.8202020201250877
21,6.733333333333333,918,554,TRACKING,56.0,0.7176767676094518
24,6.833333333333334,918,554,TRACKING,58.0,0.8022132398263994
27,6.933333333333334,916,554,TRACKING,62.0,0.8575382908489098
30,7.033333333333334,916,554,TRACKING,60.0,0.604608799528448
33,7.133333333333334,916,554,TRACKING,64.0,0.6449160528303446
36,7.233333333333333,916,554,TRACKING,66.0,0.7114959615650317
39,7.333333333333334,914,554,TRACKING,78.0,0.8408588636677647
42,7.433333333333334,912,554,TRACKING,64.0,0.7398388380432517
45,7.533333333333334,912,552,TRACKING,60.0,0.6935989106655485
48,7.633333333333334,912,554,TRACKING,72.0,0.8323186927986582
51,7.733333333333333,910,552,TRACKING,64.0,0.8202020201250877
54,7.833333333333334,910,554,TRACKING,34.0,0.8714646546573354
57,7.933333333333334,908,554,TRACKING,42.0,0.7722839969901619
60,8.033333333333333,908,556,TRACKING,26.0,0.7785730219145969
63,8.133333333333333,908,554,TRACKING,34.0,0.8198545354117052
66,8.233333333333334,908,554,TRACKING,46.0,0.8458348538463679
69,8.333333333333334,906,554,TRACKING,26.0,0.7785730219145969
72,8.433333333333334,906,554,TRACKING,30.0,0.8983534868245349
75,8.533333333333333,906,554,TRACKING,28.0,0.75020015882688
78,8.633333333333333,904,552,TRACKING,26.0,0.7785730219145969
81,8.733333333333334,904,554,TRACKING,28.0,0.75020015882688
84,8.833333333333334,904,552,TRACKING,32.0,0.8573716100878629
87,8.933333333333334,902,552,TRACKING,40.0,0.8061450759506537
90,9.033333333333333,902,552,TRACKING,34.0,0.7543480030924008
93,9.133333333333335,902,554,TRACKING,34.0,0.8198545354117052
96,9.233333333333334,902,554,TRACKING,38.0,0.7964953919549048
99,9.333333333333334,902,554,TRACKING,42.0,0.8803370121606843
102,9.433333333333334,902,554,TRACKING,42.0,0.8803370121606843
105,9.533333333333333,900,554,TRACKING,54.0,0.7468881888038891
108,9.633333333333335,900,554,TRACKING,60.0,0.8572568253872994
111,9.733333333333334,898,554,TRACKING,52.0,0.8758946496539215
114,9.833333333333334,898,554,TRACKING,56.0,0.8384632592936002
117,9.933333333333334,898,552,TRACKING,42.0,0.8803370121606843
120,10.033333333333333,896,552,TRACKING,66.0,0.7859239759138743
123,10.133333333333335,896,552,TRACKING,70.0,0.8335557320298668
126,10.233333333333334,896,552,TRACKING,66.0,0.7859239759138743
129,10.333333333333334,896,552,TRACKING,62.0,0.8575382908489098
132,10.433333333333334,896,554,TRACKING,60.0,0.7689393938672696
135,10.533333333333333,894,554,TRACKING,58.0,0.7668936186867932
138,10.633333333333335,894,554,TRACKING,68.0,0.7860787654209549
141,10.733333333333334,894,554,TRACKING,52.0,0.7785730264869144
144,10.833333333333334,894,554,TRACKING,44.0,0.7411416266302412
147,10.933333333333334,892,554,TRACKING,36.0,0.8323186919600187
150,11.033333333333333,892,554,TRACKING,30.0,0.8983534868245349
153,11.133333333333335,890,554,TRACKING,18.0,0.8323186927986582
156,11.233333333333334,892,552,TRACKING,44.0,0.8399544390775812
159,11.333333333333334,890,552,TRACKING,34.0,0.8198545354117052
162,11.433333333333334,890,552,TRACKING,34.0,0.7126537717491253
165,11.533333333333333,888,552,TRACKING,52.0,0.7785730264869144
168,11.633333333333335,888,554,TRACKING,46.0,0.8458348538463679
171,11.733333333333334,888,554,TRACKING,40.0,0.924798546622243
174,11.833333333333334,886,556,TRACKING,16.0,0.7853981633974483
177,11.933333333333334,886,556,TRACKING,16.0,0.7853981633974483
180,12.033333333333333,884,556,TRACKING,38.0,0.7964953919549048
183,12.133333333333335,884,556,TRACKING,60.0,0.8983534921002858
186,12.233333333333334,884,556,TRACKING,44.0,0.7411416266302412
189,12.333333333333334,884,554,TRACKING,56.0,0.8001063703614794
192,12.433333333333334,884,552,TRACKING,44.0,0.7411416266302412
195,12.533333333333333,884,552,TRACKING,56.0,0.9432711611657616
198,12.633333333333335,884,552,TRACKING,44.0,0.8399544390775812
201,12.733333333333334,884,552,TRACKING,56.0,0.9432711611657616
204,12.833333333333334,880,552,TRACKING,50.0,0.9193857107025737
207,12.933333333333334,880,552,TRACKING,58.0,0.8982491906543907
210,13.033333333333333,880,554,TRACKING,62.0,0.7705040289325178
213,13.133333333333335,880,554,TRACKING,48.0,0.8085181381420813
216,13.233333333333334,878,556,TRACKING,40.0,0.924798546622243
219,13.333333333333334,876,556,TRACKING,48.0,0.8085181381420813
222,13.433333333333334,876,556,TRACKING,42.0,0.8803370121606843
225,13.533333333333333,876,556,TRACKING,34.0,0.7126537717491253
228,13.633333333333335,876,554,TRACKING,34.0,0.7126537717491253
231,13.733333333333334,876,554,TRACKING,54.0,0.8781032888825037
234,13.833333333333334,876,552,TRACKING,54.0,0.8363009706092605
237,13.933333333333334,876,552,TRACKING,50.0,0.7743527505641299
240,14.033333333333333,874,552,TRACKING,22.0,0.7798381254407766
243,14.133333333333335,874,552,TRACKING,36.0,0.8323186919600187
246,14.233333333333334,874,554,TRACKING,56.0,0.9432711611657616
249,14.333333333333334,872,554,TRACKING,22.0,0.8399544551501442
252,14.433333333333334,872,554,TRACKING,14.0,0.8001063703614794
255,14.533333333333333,872,556,TRACKING,16.0,0.7853981633974483
258,14.633333333333335,872,556,TRACKING,16.0,0.7853981633974483
261,14.733333333333334,870,556,TRACKING,20.0,0.8061450660379307
264,14.833333333333334,870,556,TRACKING,20.0,0.8061450660379307
267,14.933333333333334,870,554,TRACKING,48.0,0.8085181381420813
270,15.033333333333333,868,552,TRACKING,68.0,0.7860787654209549
273,15.133333333333335,868,552,TRACKING,78.0,0.8408588636677647
276,15.233333333333334,868,552,TRACKING,74.0,0.7256046329210497
279,15.333333333333334,868,550,TRACKING,74.0,0.7977378963001871
282,15.433333333333334,868,550,TRACKING,64.0,0.7398388380432517
285,15.533333333333333,866,552,TRACKING,54.0,0.8363009706092605
288,15.633333333333335,866,554,TRACKING,60.0,0.7689393938672696
291,15.733333333333334,866,552,TRACKING,46.0,0.8458348538463679
294,15.833333333333334,864,554,TRACKING,22.0,0.6587925570046589
297,15.933333333333334,866,556,TRACKING,12.0,0.8085181381420813
300,16.033333333333335,864,556,TRACKING,30.0,0.723401060657387
303,16.133333333333333,862,554,TRACKING,44.0,0.7411416266302412
306,16.233333333333334,860,554,TRACKING,46.0,0.7124045305189995
309,16.333333333333336,860,554,TRACKING,44.0,0.7411416266302412
312,16.433333333333334,860,552,TRACKING,28.0,0.9432711667053002
315,16.533333333333335,860,552,TRACKING,50.0,0.9193857107025737
318,16.633333333333333,860,550,TRACKING,48.0,0.8085181381420813
321,16.733333333333334,860,552,TRACKING,46.0,0.8458348538463679
324,16.833333333333336,860,552,TRACKING,52.0,0.8758946496539215
327,16.933333333333334,858,552,TRACKING,36.0,0.8323186919600187
330,17.033333333333335,856,554,TRACKING,30.0,0.7689394011682371
333,17.133333333333333,856,554,TRACKING,40.0,0.8061450759506537
336,17.233333333333334,856,556,TRACKING,26.0,0.7785730219145969
339,17.333333333333336,856,554,TRACKING,16.0,0.6449160528303446
342,17.433333333333334,856,554,TRACKING,10.0,0.5715045502581996
345,17.533333333333335,856,552,TRACKING,36.0,0.8323186919600187
348,17.633333333333333,856,552,TRACKING,36.0,0.8323186919600187
351,17.733333333333334,854,550,TRACKING,22.0,0.7798381254407766
354,17.833333333333336,852,552,TRACKING,30.0,0.7689394011682371
357,17.933333333333334,852,550,TRACKING,20.0,0.8061450660379307
360,18.033333333333335,852,552,TRACKING,44.0,0.7798381441138786
363,18.133333333333333,850,552,TRACKING,46.0,0.803114141847837
366,18.233333333333334,850,552,TRACKING,46.0,0.803114141847837
369,18.333333333333336,850,554,TRACKING,32.0,0.8573716100878629
372,18.433333333333334,850,554,TRACKING,32.0,0.8573716100878629
375,18.533333333333335,850,556,TRACKING,24.0,0.8085181428902573
378,18.633333333333333,850,554,TRACKING,28.0,0.9432711667053002
