Frame,Time_Sec,X,Y,Mode,Area,Circularity
0,0.0,922,552,RECOVERED,38.0,0.7964953919549048
3,0.10000000000000053,922,554,TRACKING,44.0,0.8867595835457189
6,0.20000000000000018,920,552,TRACKING,44.0,0.8399544390775812
9,0.3000000000000007,920,554,TRACKING,52.0,0.7785730264869144
12,0.40000000000000036,920,552,TRACKING,54.0,0.7468881888038891
15,0.5,918,554,TRACKING,66.0,0.91286334187142
18,0.6000000000000005,918,554,TRACKING,64.0,0.8202020201250877
21,0.7000000000000002,918,554,TRACKING,56.0,0.7176767676094518
24,0.8000000000000007,918,554,TRACKING,58.0,0.8022132398263994
27,0.9000000000000004,916,554,TRACKING,62.0,0.8575382908489098
30,1.0000000000000009,916,554,TRACKING,60.0,0.604608799528448
33,1.1000000000000005,916,554,TRACKING,64.0,0.6449160528303446
36,1.2000000000000002,916,554,TRACKING,66.0,0.7114959615650317
39,1.3000000000000007,914,554,TRACKING,78.0,0.8408588636677647
42,1.4000000000000004,912,554,TRACKING,64.0,0.7398388380432517
45,1.5000000000000009,912,552,TRACKING,60.0,0.6935989106655485
48,1.6000000000000005,912,554,TRACKING,72.0,0.8323186927986582
51,1.7000000000000002,910,552,TRACKING,64.0,0.8202020201250877
54,1.8000000000000007,910,554,TRACKING,34.0,0.8714646546573354
57,1.9000000000000004,908,554,TRACKING,42.0,0.7722839969901619
60,2.0,908,556,TRACKING,26.0,0.7785730219145969
63,2.0999999999999996,908,554,TRACKING,34.0,0.8198545354117052
66,2.200000000000001,908,554,TRACKING,46.0,0.8458348538463679
69,2.3000000000000007,906,554,TRACKING,26.0,0.7785730219145969
72,2.4000000000000004,906,554,TRACKING,30.0,0.8983534868245349
75,2.5,906,554,TRACKING,28.0,0.75020015882688
78,2.5999999999999996,904,552,TRACKING,26.0,0.7785730219145969
81,2.700000000000001,904,554,TRACKING,28.0,0.75020015882688
84,2.8000000000000007,904,552,TRACKING,32.0,0.8573716100878629
87,2.9000000000000004,902,552,TRACKING,40.0,0.8061450759506537
90,2.9999999999999982,902,552,TRACKING,34.0,0.7543480030924008
93,3.100000000000003,902,554,TRACKING,34.0,0.8198545354117052
96,3.200000000000001,902,554,TRACKING,38.0,0.7964953919549048
99,3.3000000000000007,902,554,TRACKING,42.0,0.8803370121606843
102,3.4000000000000004,902,554,TRACKING,42.0,0.8803370121606843
105,3.4999999999999982,900,554,TRACKING,54.0,0.7468881888038891
108,3.600000000000003,900,554,TRACKING,60.0,0.8572568253872994
111,3.700000000000001,898,554,TRACKING,52.0,0.8758946496539215
114,3.8000000000000007,898,554,TRACKING,56.0,0.8384632592936002
117,3.9000000000000004,898,552,TRACKING,42.0,0.8803370121606843
120,3.9999999999999982,896,552,TRACKING,66.0,0.7859239759138743
123,4.100000000000003,896,552,TRACKING,70.0,0.8335557320298668
126,4.200000000000001,896,552,TRACKING,66.0,0.7859239759138743
129,4.300000000000001,896,552,TRACKING,62.0,0.8575382908489098
132,4.4,896,554,TRACKING,60.0,0.7689393938672696
135,4.499999999999998,894,554,TRACKING,58.0,0.7668936186867932
138,4.600000000000003,894,554,TRACKING,68.0,0.7860787654209549
141,4.700000000000001,894,554,TRACKING,52.0,0.7785730264869144
144,4.800000000000001,894,554,TRACKING,44.0,0.7411416266302412
147,4.9,892,554,TRACKING,36.0,0.8323186919600187
150,4.999999999999998,892,554,TRACKING,30.0,0.8983534868245349
153,5.100000000000003,890,554,TRACKING,18.0,0.8323186927986582
156,5.200000000000001,892,552,TRACKING,44.0,0.8399544390775812
159,5.300000000000001,890,552,TRACKING,34.0,0.8198545354117052
162,5.4,890,552,TRACKING,34.0,0.7126537717491253
165,5.499999999999998,888,552,TRACKING,52.0,0.7785730264869144
168,5.600000000000003,888,554,TRACKING,46.0,0.8458348538463679
171,5.700000000000001,888,554,TRACKING,40.0,0.924798546622243
174,5.800000000000001,886,556,TRACKING,16.0,0.7853981633974483
177,5.9,886,556,TRACKING,16.0,0.7853981633974483
180,5.999999999999998,884,556,TRACKING,38.0,0.7964953919549048
183,6.100000000000003,884,556,TRACKING,60.0,0.8983534921002858
186,6.200000000000001,884,556,TRACKING,44.0,0.7411416266302412
189,6.300000000000001,884,554,TRACKING,56.0,0.8001063703614794
192,6.4,884,552,TRACKING,44.0,0.7411416266302412
195,6.499999999999998,884,552,TRACKING,56.0,0.9432711611657616
198,6.600000000000003,884,552,TRACKING,44.0,0.8399544390775812
201,6.700000000000001,884,552,TRACKING,56.0,0.9432711611657616
204,6.800000000000001,880,552,TRACKING,50.0,0.9193857107025736
207,6.9,880,552,TRACKING,58.0,0.8982491906543907
210,6.999999999999998,880,554,TRACKING,62.0,0.7705040289325178
213,7.100000000000003,880,554,TRACKING,48.0,0.8085181381420813
216,7.200000000000001,878,556,TRACKING,40.0,0.924798546622243
219,7.300000000000001,876,556,TRACKING,48.0,0.8085181381420813
222,7.4,876,556,TRACKING,42.0,0.8803370121606843
225,7.499999999999998,876,556,TRACKING,34.0,0.7126537717491253
228,7.600000000000003,876,554,TRACKING,34.0,0.7126537717491253
231,7.700000000000001,876,554,TRACKING,54.0,0.8781032888825037
