Frame,Time_Sec,X,Y,Mode,Area,Circularity
0,0.0,1146,552,RECOVERED,158.0,0.8117676139641233
3,0.09576666666666667,1146,554,TRACKING,182.0,0.8523906481749289
6,0.20783333333333334,1146,554,TRACKING,174.0,0.869667943579849
9,0.3039,1146,554,TRACKING,172.0,0.9012974172121291
12,0.3998333333333334,1146,554,TRACKING,164.0,0.8593766071092394
15,0.4959,1146,554,TRACKING,166.0,0.829683210541695
18,0.6080333333333333,1146,554,TRACKING,170.0,0.8177135159753005
21,0.7039333333333334,1146,554,TRACKING,164.0,0.8593766071092394
24,0.7998333333333334,1146,554,TRACKING,166.0,0.9130204825277927
27,0.9117666666666667,1146,552,TRACKING,162.0,0.8323186927986582
30,1.0078,1146,554,TRACKING,156.0,0.8174557970063495
33,1.1038000000000001,1146,552,TRACKING,166.0,0.852869771633193
36,1.1999333333333333,1146,554,TRACKING,182.0,0.8523906481749289
39,1.3121333333333334,1146,554,TRACKING,162.0,0.8323186927986582
42,1.4082000000000001,1146,554,TRACKING,158.0,0.8690194954180195
45,1.504,1146,552,TRACKING,160.0,0.8624193524162747
48,1.6157666666666668,1146,554,TRACKING,174.0,0.8939719293022625
51,1.7118,1146,554,TRACKING,168.0,0.8803370121606843
54,1.8079666666666667,1146,554,TRACKING,160.0,0.924798546622243
57,1.9040333333333335,1146,554,TRACKING,180.0,0.8274471471787073
60,2.0159333333333334,1146,554,TRACKING,190.0,0.8898583689738269
63,2.1118,1146,554,TRACKING,168.0,0.8803370121606843
66,2.208,1146,552,TRACKING,172.0,0.7906717112042135
69,2.3200000000000003,1146,554,TRACKING,172.0,0.8432702460073699
72,2.416,1148,552,TRACKING,164.0,0.8040483741000505
75,2.5121,1146,554,TRACKING,160.0,0.862419369450128
78,2.6079333333333334,1146,552,TRACKING,162.0,0.891019988972906
81,2.7199,1146,554,TRACKING,168.0,0.8236593100537102
84,2.8158000000000003,1146,552,TRACKING,156.0,0.8174557970063495
87,2.9120999999999997,1146,554,TRACKING,172.0,0.8666059649212943
90,3.0241000000000002,1146,554,TRACKING,166.0,0.8528697880793791
93,3.1198,1148,554,TRACKING,172.0,0.9271008221588877
96,3.2159,1146,554,TRACKING,176.0,0.8090594254182649
99,3.311933333333333,1148,554,TRACKING,180.0,0.8824921179146895
102,3.424066666666667,1146,554,TRACKING,170.0,0.8496755770607721
105,3.5198333333333336,1146,554,TRACKING,170.0,0.8177135236038587
108,3.615766666666667,1148,554,TRACKING,188.0,0.8642225759422053
111,3.7278333333333333,1148,552,TRACKING,156.0,0.8408588686058677
114,3.8238000000000003,1146,554,TRACKING,162.0,0.891019988972906
117,3.9198333333333335,1146,552,TRACKING,172.0,0.8432702460073699
120,4.015866666666667,1148,554,TRACKING,184.0,0.9021030538683492
123,4.127766666666667,1146,552,TRACKING,156.0,0.9016785921777394
126,4.2239,1148,554,TRACKING,178.0,0.8561941600087462
129,4.3198,1146,552,TRACKING,166.0,0.7774552065771329
132,4.431866666666667,1146,554,TRACKING,176.0,0.8628811819610296
135,4.527833333333334,1146,554,TRACKING,172.0,0.8432702460073699
138,4.6239,1148,556,TRACKING,182.0,0.8523906481749289
141,4.719833333333334,1148,554,TRACKING,180.0,0.8824921179146895
144,4.831833333333334,1148,554,TRACKING,172.0,0.8432702460073699
147,4.9279,1148,554,TRACKING,192.0,0.8598880704404595
150,5.0239,1148,552,TRACKING,166.0,0.7984731979523523
153,5.135866666666667,1148,554,TRACKING,158.0,0.8690195040872569
156,5.231833333333333,1148,552,TRACKING,164.0,0.8040483741000505
159,5.3279000000000005,1148,554,TRACKING,160.0,0.8624193609332012
162,5.4238333333333335,1148,552,TRACKING,160.0,0.8624193524162747
165,5.535900000000001,1148,554,TRACKING,164.0,0.8040483741000505
168,5.6319,1148,554,TRACKING,154.0,0.8470190018631328
171,5.727866666666667,1146,554,TRACKING,176.0,0.8090594254182649
174,5.839833333333334,1148,554,TRACKING,160.0,0.8624193524162747
177,5.936166666666667,1148,554,TRACKING,148.0,0.8554386556255746
180,6.031966666666667,1148,552,TRACKING,156.0,0.9016785829566868
183,6.1281,1148,554,TRACKING,176.0,0.9222578222635739
186,6.240200000000001,1148,554,TRACKING,174.0,0.8939719293022625
189,6.3361,1148,554,TRACKING,170.0,0.8177135159753005
192,6.431900000000001,1148,554,TRACKING,166.0,0.852869771633193
195,6.544300000000001,1148,554,TRACKING,176.0,0.8628811819610296
198,6.639966666666667,1148,554,TRACKING,170.0,0.796189066976582
201,6.7363,1148,554,TRACKING,164.0,0.8593766071092394
204,6.832033333333333,1148,554,TRACKING,178.0,0.7827795831088521
207,6.944233333333334,1148,554,TRACKING,184.0,0.8458348538463679
210,7.040166666666667,1148,554,TRACKING,176.0,0.8628811819610296
213,7.1359,1148,554,TRACKING,176.0,0.8090594254182649
216,7.248033333333334,1148,554,TRACKING,174.0,0.8149229273760308
219,7.344266666666667,1148,554,TRACKING,166.0,0.7984731979523523
222,7.440266666666667,1148,554,TRACKING,168.0,0.8803370121606843
225,7.5360000000000005,1148,552,TRACKING,176.0,0.8628811819610296
228,7.647866666666667,1148,554,TRACKING,166.0,0.9130204825277927
231,7.744133333333334,1148,554,TRACKING,164.0,0.8040483741000505
234,7.839866666666667,1148,554,TRACKING,176.0,0.8628811819610296
237,7.952166666666667,1148,554,TRACKING,182.0,0.8523906481749289
240,8.048066666666667,1148,554,TRACKING,170.0,0.7961890743059244
243,8.144233333333334,1148,554,TRACKING,174.0,0.8939719465410358
246,8.2403,1148,554,TRACKING,176.0,0.8090594254182649
249,8.3522,1148,554,TRACKING,176.0,0.8628811900881246
252,8.447933333333333,1148,554,TRACKING,176.0,0.8628811819610296
255,8.544166666666667,1148,554,TRACKING,168.0,0.8803370121606843
258,8.6559,1148,554,TRACKING,144.0,0.8323186919600187
261,8.751966666666664,1148,554,TRACKING,164.0,0.8839798449565314
